agentId;time;posX;posZ;speed;localDensity
27;6,2000;3,9021;2,1506;1,3567;0,0398
26;6,2000;-0,3927;4,4392;1,1593;0,0398
25;6,2000;4,9260;1,4068;1,2157;0,0398
24;6,2000;2,9563;0,5385;1,1708;0,0398
23;6,2000;0,7942;3,6804;1,4888;0,0398
22;6,2000;4,2480;0,0098;1,4606;0,0398
21;6,2000;1,2324;4,3595;1,3514;0,0398
20;6,2000;2,6253;1,7085;1,3581;0,0398
19;6,2000;3,9232;1,3725;1,2239;0,0398
18;6,2000;0,5660;1,6456;1,3209;0,0398
17;6,2000;2,6956;-0,0590;1,3756;0,0398
16;6,2000;-0,8815;3,3458;1,3487;0,0398
15;6,2000;2,1023;0,3586;1,3179;0,0398
14;6,2000;-0,8232;1,3227;1,1868;0,0398
13;6,2000;1,9472;1,8869;1,4389;0,0398
12;6,2000;2,6432;1,0005;0,9161;0,0398
11;6,2000;-0,4643;2,1316;1,4643;0,0398
10;6,2000;1,5939;-0,1583;1,1262;0,0398
9;6,2000;-0,0560;1,2391;0,9901;0,0398
8;6,2000;0,9093;0,6818;1,2048;0,0398
7;6,2000;1,6291;2,4782;1,2968;0,0398
6;6,2000;-0,0471;3,6199;1,0985;0,0398
5;6,2000;2,0456;1,1800;0,9784;0,0398
4;6,2000;-0,9127;-2,5332;1,8102;0,0398
3;6,2000;-2,1323;0,8519;1,6568;0,0398
2;6,2000;0,5445;1,0553;0,6759;0,0398
1;6,2000;-0,4050;-3,0673;1,7616;0,0398
39;6,7200;6,4650;0,1248;0,2020;0,1194
37;6,7200;5,5237;0,4278;0,4658;0,1194
35;6,7200;0,1579;5,9311;0,6785;0,1194
34;6,7200;4,8623;-0,2187;1,4856;0,1194
32;6,7200;5,8667;-0,2977;0,7924;0,1194
31;6,7200;3,8136;0,7199;1,3559;0,1194
30;6,7200;0,8155;6,0863;1,4699;0,1194
29;6,7200;4,0334;-0,2845;1,4810;0,1194
28;6,7200;-0,5803;4,9847;1,2784;0,1194
27;6,7200;3,1668;2,1560;1,4141;0,1194
26;6,7200;-0,3799;3,8235;1,1844;0,1194
25;6,7200;4,2466;1,4549;1,3098;0,1194
24;6,7200;2,3620;0,4226;1,1645;0,1194
23;6,7200;0,7014;2,9402;1,4348;0,1194
22;6,7200;3,4299;0,0708;1,5776;0,1194
21;6,7200;1,1863;3,5893;1,4838;0,1194
20;6,7200;1,9049;1,7848;1,3931;0,1194
19;6,7200;3,3073;1,3168;1,1891;0,1194
18;6,7200;0,6432;1,3205;0,6425;0,1194
17;6,7200;1,9567;-0,0994;1,4232;0,1194
16;6,7200;-0,8359;2,6438;1,3529;0,1194
15;6,7200;1,4192;0,4368;1,3222;0,1194
14;6,7200;-1,1213;0,7443;1,2515;0,1194
13;6,7200;1,1344;1,8542;1,5644;0,1194
12;6,7200;2,2278;1,0583;0,8066;0,1194
11;6,7200;-0,4237;1,4001;1,4089;0,1194
10;6,7200;1,0208;-0,1802;1,1029;0,1194
9;6,7200;-0,5011;0,7112;1,3279;0,1194
8;6,7200;0,6606;0,3256;0,8354;0,1194
