time;grid_x;grid_z;density
22,100;0;-1;1,0000
22,100;1;1;2,0000
22,100;1;2;1,0000
22,100;-1;4;1,0000
22,100;2;0;1,0000
22,100;0;4;2,0000
22,100;3;0;1,0000
22,100;1;3;1,0000
22,100;3;-1;1,0000
22,100;3;1;1,0000
22,100;0;5;1,0000
22,100;4;1;2,0000
22,100;5;0;1,0000
22,100;1;6;1,0000
22,100;0;6;1,0000
22,100;5;-1;1,0000
22,100;5;1;1,0000
22,100;-2;7;1,0000
22,100;6;2;1,0000
22,100;-1;6;1,0000
22,100;6;0;1,0000
24,110;-3;-1;1,0000
24,110;-2;-1;3,0000
24,110;-4;0;3,0000
24,110;-2;-2;3,0000
24,110;-4;-1;1,0000
24,110;-1;1;3,0000
24,110;-1;-3;2,0000
24,110;-5;1;1,0000
24,110;-1;-4;1,0000
24,110;-4;1;1,0000
24,110;-5;0;1,0000
24,110;-2;1;1,0000
24,110;0;-1;2,0000
24,110;-2;0;2,0000
24,110;-3;0;1,0000
24,110;-1;0;2,0000
24,110;0;1;2,0000
24,110;0;0;1,0000
24,110;-1;2;1,0000
24,110;1;0;1,0000
24,110;0;2;2,0000
24,110;1;1;2,0000
24,110;2;0;1,0000
24,110;0;3;1,0000
24,110;2;1;1,0000
24,110;-1;3;1,0000
24,110;2;-1;1,0000
24,110;2;2;1,0000
24,110;-2;5;1,0000
24,110;4;2;1,0000
24,110;-1;4;2,0000
24,110;4;1;2,0000
24,110;4;0;1,0000
24,110;-1;6;1,0000
24,110;6;2;1,0000
24,110;0;6;1,0000
24,110;6;-1;1,0000
24,110;5;0;1,0000
24,110;0;5;1,0000
24,110;6;1;1,0000
24,110;-1;7;1,0000
26,120;-3;-1;4,0000
26,120;-1;-3;1,0000
26,120;-2;-2;2,0000
26,120;-5;0;1,0000
26,120;-1;-2;1,0000
26,120;-2;-3;1,0000
26,120;-2;0;4,0000
26,120;-5;1;1,0000
26,120;-1;-4;1,0000
26,120;-2;-1;2,0000
26,120;-3;0;1,0000
26,120;-1;0;3,0000
26,120;-4;0;1,0000
26,120;-1;-1;2,0000
26,120;0;1;3,0000
26,120;0;0;1,0000
26,120;1;1;2,0000
26,120;-1;1;2,0000
26,120;0;-1;1,0000
26,120;0;2;1,0000
26,120;-2;3;1,0000
26,120;-1;2;1,0000
26,120;2;0;2,0000
26,120;2;1;2,0000
26,120;1;0;1,0000
26,120;-1;3;1,0000
26,120;4;2;1,0000
26,120;0;4;1,0000
26,120;3;-1;1,0000
26,120;0;3;1,0000
26,120;-1;6;2,0000
26,120;3;1;1,0000
26,120;3;0;1,0000
26,120;0;5;2,0000
26,120;5;1;1,0000
26,120;1;6;1,0000
26,120;6;0;1,0000
26,120;4;1;1,0000
26,120;5;2;1,0000
26,120;6;1;1,0000
28,130;-3;-1;3,0000
28,130;-2;-2;3,0000
28,130;-4;-1;1,0000
28,130;-2;-1;4,0000
28,130;-4;0;2,0000
28,130;-3;0;2,0000
28,130;-1;-2;2,0000
28,130;0;-4;1,0000
28,130;-1;-3;1,0000
28,130;-2;0;2,0000
28,130;-1;-1;1,0000
28,130;-3;1;1,0000
28,130;0;-1;2,0000
28,130;-1;0;2,0000
28,130;-2;1;2,0000
28,130;-2;2;1,0000
28,130;-1;1;3,0000
28,130;0;0;2,0000
28,130;2;2;1,0000
28,130;-1;2;1,0000
28,130;1;0;2,0000
28,130;0;2;3,0000
28,130;0;1;2,0000
28,130;-2;4;1,0000
28,130;2;1;2,0000
28,130;1;3;1,0000
28,130;4;0;1,0000
28,130;-1;4;1,0000
28,130;3;1;2,0000
28,130;0;4;1,0000
28,130;5;0;2,0000
