agentId;time;posX;posZ;speed;localDensity
24;6,2000;4,2753;0,3391;1,2360;0,0398
23;6,2000;0,3363;4,3619;1,1395;0,0398
22;6,2000;4,2124;2,0553;1,1643;0,0398
21;6,2000;0,7102;5,1699;0,9743;0,0398
20;6,2000;3,2334;1,4352;1,3102;0,0398
19;6,2000;3,1404;-0,2609;1,1029;0,0398
18;6,2000;0,1869;2,7718;1,0764;0,0398
17;6,2000;1,9472;0,9258;1,2133;0,0398
16;6,2000;0,8411;2,2789;1,7807;0,0398
15;6,2000;2,5872;1,2402;1,2581;0,0398
14;6,2000;-1,2893;1,2846;1,4614;0,0398
13;6,2000;1,3514;0,1523;1,3904;0,0398
12;6,2000;0,3136;1,6738;1,6346;0,0398
11;6,2000;-0,4281;2,4926;1,0907;0,0398
10;6,2000;-1,0597;-0,6171;1,6386;0,0398
9;6,2000;0,7690;-0,1417;1,7675;0,0398
8;6,2000;-1,1114;0,7613;1,8035;0,0398
7;6,2000;1,2027;0,8165;0,8734;0,0398
6;6,2000;-0,4626;-0,2987;1,2608;0,0398
5;6,2000;-0,4777;1,0195;0,8978;0,0398
4;6,2000;-0,5889;1,4860;0,4329;0,0398
3;6,2000;-2,1167;1,1431;1,3630;0,0398
2;6,2000;-1,9356;0,4063;1,4841;0,0398
1;6,2000;0,3979;-3,8228;1,7686;0,0398
39;6,7200;6,0230;2,1304;0,2039;0,0000
38;6,7200;0,4319;6,9299;0,4949;0,0000
37;6,7200;6,4064;1,3045;0,6146;0,0000
36;6,7200;5,4331;1,5920;0,9472;0,0000
35;6,7200;-1,1015;6,6068;0,9019;0,0000
34;6,7200;5,8294;0,5369;1,2590;0,0000
33;6,7200;-1,3316;5,2918;1,8670;0,0000
32;6,7200;4,5448;0,6045;1,4206;0,0000
31;6,7200;0,1751;5,1202;1,4139;0,0000
30;6,7200;4,2334;-0,2322;1,8696;0,0000
29;6,7200;4,9490;2,2053;1,2102;0,0000
28;6,7200;-0,6014;5,3053;1,3046;0,0000
27;6,7200;4,6623;1,3509;1,2003;0,0000
26;6,7200;1,2657;4,0664;1,2111;0,0000
25;6,7200;2,3888;0,5001;1,5834;0,0000
24;6,7200;3,6315;0,3712;1,2396;0,0000
23;6,7200;0,3178;3,7707;1,1374;0,0000
22;6,7200;3,6088;2,0070;1,1645;0,0000
21;6,7200;0,6609;4,6332;1,0365;0,0000
20;6,7200;2,5625;1,4204;1,2904;0,0000
19;6,7200;2,6034;-0,2495;1,0329;0,0000
18;6,7200;0,2052;2,2024;1,0956;0,0000
17;6,7200;1,3337;0,9011;1,1808;0,0000
16;6,7200;0,7833;1,3667;1,7578;0,0000
15;6,7200;1,9274;1,2371;1,2687;0,0000
14;6,7200;-1,3505;0,7600;1,0156;0,0000
13;6,7200;0,6078;0,1592;1,4301;0,0000
12;6,7200;-0,4408;1,5974;1,4582;0,0000
