  -2.4996256e+00   9.3553601e-01   1.2600000e+02
  -2.4955245e+00   9.3586672e-01   1.2700000e+02
  -2.4913980e+00   9.3721917e-01   1.2800000e+02
  -2.4866126e+00   9.3778461e-01   1.2900000e+02
  -2.4815132e+00   9.3860311e-01   1.3000000e+02
  -2.4760852e+00   9.3926738e-01   1.3100000e+02
  -2.4701525e+00   9.4004112e-01   1.3200000e+02
  -2.4648725e+00   9.4000612e-01   1.3300000e+02
  -2.4594506e+00   9.4105763e-01   1.3400000e+02
  -2.4536735e+00   9.4071811e-01   1.3500000e+02
  -2.4478534e+00   9.4088754e-01   1.3600000e+02
  -2.4413845e+00   9.4091521e-01   1.3700000e+02
  -2.4357174e+00   9.4116257e-01   1.3800000e+02
  -2.4292206e+00   9.4008953e-01   1.3900000e+02
  -2.4235405e+00   9.3904940e-01   1.4000000e+02
  -2.4174511e+00   9.3891156e-01   1.4100000e+02
  -2.4119993e+00   9.3763649e-01   1.4200000e+02
  -2.4064427e+00   9.3663474e-01   1.4300000e+02
  -2.3995160e+00   9.3570777e-01   1.4400000e+02
  -2.3938082e+00   9.3413521e-01   1.4500000e+02
  -2.3884642e+00   9.3180274e-01   1.4600000e+02
  -2.3822409e+00   9.3151561e-01   1.4700000e+02
  -2.3775111e+00   9.2948920e-01   1.4800000e+02
  -2.3721978e+00   9.2733952e-01   1.4900000e+02
  -2.3667891e+00   9.2529545e-01   1.5000000e+02
  -2.3624166e+00   9.2375957e-01   1.5100000e+02
  -2.3589883e+00   9.2104447e-01   1.5200000e+02
  -2.3551901e+00   9.1993857e-01   1.5300000e+02
  -2.3511366e+00   9.1736039e-01   1.5400000e+02
  -2.3486079e+00   9.1521247e-01   1.5500000e+02
  -2.3455105e+00   9.1252606e-01   1.5600000e+02
  -2.3434421e+00   9.1082891e-01   1.5700000e+02
  -2.3420093e+00   9.0886700e-01   1.5800000e+02
  -2.3390669e+00   9.0627028e-01   1.5900000e+02
  -2.3377854e+00   9.0425392e-01   1.6000000e+02
  -2.3356628e+00   9.0153819e-01   1.6100000e+02
  -2.3331465e+00   8.9792512e-01   1.6200000e+02
  -2.3314029e+00   8.9593359e-01   1.6300000e+02
  -2.3297746e+00   8.9249182e-01   1.6400000e+02
  -2.3272968e+00   8.8955988e-01   1.6500000e+02
  -2.3253530e+00   8.8549597e-01   1.6600000e+02
  -2.3242624e+00   8.8131176e-01   1.6700000e+02
  -2.3211595e+00   8.7662395e-01   1.6800000e+02
  -2.3195268e+00   8.7196001e-01   1.6900000e+02
  -2.3182493e+00   8.6723646e-01   1.7000000e+02
  -2.3157195e+00   8.6220586e-01   1.7100000e+02
  -2.3146600e+00   8.5779839e-01   1.7200000e+02
  -2.3133003e+00   8.5286355e-01   1.7300000e+02
  -2.3106422e+00   8.4766371e-01   1.7400000e+02
  -2.3093000e+00   8.4328152e-01   1.7500000e+02
  -2.3079479e+00   8.3724967e-01   1.7600000e+02
  -2.3052463e+00   8.3145674e-01   1.7700000e+02
  -2.3035811e+00   8.2566043e-01   1.7800000e+02
  -2.3019403e+00   8.2008635e-01   1.7900000e+02
  -2.2987368e+00   8.1409431e-01   1.8000000e+02
  -2.2973748e+00   8.0905385e-01   1.8100000e+02
  -2.2939337e+00   8.0351868e-01   1.8200000e+02
  -2.2905126e+00   7.9876319e-01   1.8300000e+02
  -2.2877383e+00   7.9337312e-01   1.8400000e+02
  -2.2832757e+00   7.8928950e-01   1.8500000e+02
  -2.2798047e+00   7.8440293e-01   1.8600000e+02
  -2.2764697e+00   7.8044417e-01   1.8700000e+02
  -2.2716335e+00   7.7696421e-01   1.8800000e+02
  -2.2673883e+00   7.7405959e-01   1.8900000e+02
  -2.2620076e+00   7.7041284e-01   1.9000000e+02
  -2.2560719e+00   7.6813973e-01   1.9100000e+02
  -2.2514440e+00   7.6564516e-01   1.9200000e+02
  -2.2449517e+00   7.6443022e-01   1.9300000e+02
  -2.2389147e+00   7.6292422e-01   1.9400000e+02
  -2.2320675e+00   7.6114336e-01   1.9500000e+02
  -2.2247543e+00   7.6030641e-01   1.9600000e+02
  -2.2180513e+00   7.6004707e-01   1.9700000e+02
  -2.2098314e+00   7.5899638e-01   1.9800000e+02
  -2.2026603e+00   7.5887758e-01   1.9900000e+02
